ssnn,target,vertical,weight,followers
tw,fgarciaanaya,info,6,205
tw,florarnone,info,4,1118
tw,florarnone,aseguradora,1,1117
tw,florarnone,retailer,1,1117
tw,flyingboyok,info,6,2734
tw,gerardcanhete,info,6,170
tw,gracuz,info,6,617
tw,hernannovo,aseguradora,6,70
tw,ijournal,hashtag,6,63601
tw,"inese_seguros",hashtag,6,11383
tw,jorgelinaponce,info,6,107
tw,"jua_ice",info,6,147
tw,juls0105,info,3,1821
tw,juls0105,retailer,2,1820
tw,juls0105,aseguradora,1,1820
tw,komodin,info,6,680
tw,leandroxlea,info,6,80
tw,"lolidb_db",info,6,255
tw,marialuzgomez3,aseguradora,6,34
tw,maricielocernau,info,6,2257
tw,"maru_c_maru",hashtag,6,53
tw,"meroph_",info,6,503
tw,mgiselab,info,5,257
tw,mgiselab,retailer,1,257
tw,mstaaravin,info,6,419
tw,nacionalbroker,aseguradora,6,37
tw,natuchely,info,6,208
tw,nomecallomasok,info,5,425
tw,nomecallomasok,retailer,1,424
tw,omargiraldez1,info,3,125
tw,omargiraldez1,retailer,3,124
tw,perromanzano,info,5,173
tw,perromanzano,retailer,1,173
tw,poliiglota,info,4,103
tw,poliiglota,retailer,2,103
tw,polita9999,info,4,22
tw,polita9999,retailer,2,22
tw,radioqv,aseguradora,4,1317
tw,radioqv,info,2,1317
tw,roberdn,info,6,274
tw,sanfiar,info,6,1432
tw,"sinmapa_net",info,6,10134
tw,spottersarg,info,6,8987
tw,"ssn_29",hashtag,6,1431
tw,"ssn_94",hashtag,6,51
tw,"ssn_kyla",hashtag,6,374
tw,teachmardia1713,info,6,161
tw,tinrona,info,4,616
tw,tinrona,aseguradora,2,615
tw,travelwrite1,hashtag,6,4666
tw,tudgwal,hashtag,6,216
tw,ultragrana,info,6,479
tw,verdeysol,info,6,248
tw,vlingiardi,info,6,97
tw,vuelosdiarios,info,6,753
tw,"wrap_togo",hashtag,6,626
tw,yeminarg,info,6,218
tw,"_aalmendra",info,5,583
tw,"a_noroeste",info,5,33
tw,adridozo,info,5,48
tw,aeropuertosalta,info,5,3054
tw,aiav89,info,5,375
tw,alecortina1,info,5,22
tw,"aleevillar_",info,4,466
tw,"aleevillar_",retailer,1,466
tw,aliciasown,info,5,3047
tw,"alta_cake",hashtag,5,285
tw,andreleblanc51,aseguradora,5,1793
tw,andrepicon,retailer,3,692
tw,andrepicon,info,2,692
tw,andypnino,info,5,109
tw,"anibal_av8r",info,5,73
tw,anipignataro,info,5,229
tw,antolittrell,info,3,1048
tw,antolittrell,retailer,2,1048
tw,aracelihdezg,aseguradora,5,5103
tw,"asegura_tuviaje",retailer,5,917
tw,asenjoale,info,5,548
tw,ayrasseguros,info,5,3370
tw,"b_b_ssn",hashtag,5,3
tw,barbiro87,info,5,352
tw,bemyonlyreason,info,5,444
tw,billyainsworth,info,5,412
tw,boerseq,info,5,482
tw,"brisa_medio",info,4,139
tw,"brisa_medio",retailer,1,139
tw,"bruno_urra",retailer,3,158
tw,"bruno_urra",info,2,158
tw,capote42,info,5,166
tw,carinalotitto,aseguradora,5,277
tw,cesarnob,info,5,384
tw,cielociela1,info,5,883
tw,csiconurbano,info,5,61
tw,damatomelina,info,4,170
tw,damatomelina,retailer,1,170
tw,"dami_74",info,5,66
tw,dgrosemberg,aseguradora,4,51
tw,dgrosemberg,info,1,51
tw,dianagasconc,aseguradora,5,8113
tw,digilioseguros,aseguradora,5,222
tw,"eche_fdz",info,5,62
tw,elcarpo,info,5,27165
tw,eliandrada27,info,4,240
tw,eliandrada27,aseguradora,1,240
tw,enmiyuscula,info,5,202
tw,fernandobhi,info,5,190
tw,"foro_noticioso",hashtag,5,15399
tw,"gaby_hds",info,5,394
tw,gbytz,info,5,213
tw,goappmx,hashtag,5,646
tw,godagama29,retailer,5,31
tw,gonzaferre,info,5,113
tw,gpapasergio,info,5,3345
tw,"henrymp_",aseguradora,5,795
tw,hofbauerluis,info,5,140
tw,ignacioguolo,info,5,52
tw,jagustinmdp,info,5,233
tw,jarnoletto,info,5,2072
tw,jvberbotto,info,5,504
tw,karlaflying,info,5,414
tw,kattolikamente,aseguradora,5,5371
tw,kipperseguros,aseguradora,5,137
tw,lagravaar,info,5,479
tw,laserlami,info,5,186
tw,lauritsi,info,5,208
tw,"lc_spottereze",info,5,238
tw,lenaro8713,retailer,3,1217
tw,lenaro8713,info,2,1221
tw,"leo_bianco",info,5,257
tw,lucho7711,info,5,515
tw,luchy1422,info,5,83
tw,magui92479540,retailer,5,265
tw,majogm,info,3,11705
tw,majogm,retailer,2,11705
tw,"maria_sarquis",info,5,1277
tw,marielatsu,retailer,5,1049
tw,marilaucanz,info,4,263
tw,marilaucanz,retailer,1,263
tw,maripositaviaja,info,5,6985
tw,martingh1,aseguradora,5,531
tw,maticamp,info,5,1148
tw,"may_ssn",hashtag,5,330
tw,mercedest5g,info,3,688
tw,mercedest5g,retailer,2,688
tw,meximanu,aseguradora,5,102
tw,miickiii,info,5,115
tw,mlarrambe,info,5,183
tw,mujernormanda,info,4,798
tw,mujernormanda,retailer,1,798
tw,nestordavidlop2,info,3,141
tw,nestordavidlop2,aseguradora,2,141
tw,norina67,info,5,3276
tw,pablogalfras,info,3,218
tw,pablogalfras,retailer,2,218
tw,papuchoturbo,info,5,115
tw,poquitodeacidez,info,4,197
tw,poquitodeacidez,retailer,1,197
tw,qbefoodfest,hashtag,5,18
tw,rauschseguros,aseguradora,5,45
tw,rsnunez,aseguradora,4,4359
tw,rsnunez,hashtag,1,4364
tw,"sakuku_ssn",hashtag,5,140
tw,sebafernandezb,info,5,2917
tw,segutrends,hashtag,4,746
tw,segutrends,info,1,746
tw,shiiratadeo,info,5,355
tw,"sincerely_ssn",hashtag,5,243
tw,solivillegas,info,5,100
tw,soyanggelluss,info,5,67
tw,"ssn_akhi_ri",hashtag,5,435
tw,"ssn_fuji",hashtag,5,22
tw,telerinonline,info,5,2351
tw,tuitypajarito,info,4,172
tw,tuitypajarito,retailer,1,172
tw,"ultimallamada_",info,4,7001
tw,"ultimallamada_",retailer,1,7000
tw,valeria07750948,info,5,20
tw,viajeraalma,info,5,5281
tw,vmartinrocha,info,5,10
tw,"xca_amii",info,5,630
tw,"1978_facundo",info,4,668
tw,240herni,info,4,181
tw,4sqsuarg,info,4,89
tw,4travellersblog,info,4,6798
tw,"_chechulina",info,2,287
tw,"_chechulina",retailer,2,287
tw,"a_sueyro",info,4,37
tw,adnradiochile,aseguradora,4,1689306
tw,aleabrahamsalta,info,4,837
tw,alejandromass10,info,4,10
tw,algunosabriles,info,4,309
tw,aliciasduarte,info,4,79
tw,alidezi,retailer,4,124
tw,aloriasoc,aseguradora,2,102
tw,aloriasoc,info,2,102
tw,amarviajarblog,info,4,3127
tw,"amateras_fox",hashtag,4,402
tw,amhombrao,info,4,25
tw,analearonza,info,4,379
tw,anfepema,info,3,264
tw,anfepema,retailer,1,264
tw,angiemartinezo,info,4,328
tw,"aquaman_iam",info,4,82
tw,argaerea,info,4,518
tw,arielmarecos25,aseguradora,4,14808
tw,arquitectoxhora,aseguradora,4,775
tw,"auberon_elfe",aseguradora,4,2544
tw,"ayigrarosi_115",info,4,478
tw,"bernardo_pirola",aseguradora,4,2001
tw,blogloloandlali,info,4,1552
tw,bnppcardifde,hashtag,4,98
tw,brunopont,aseguradora,4,389273
tw,cardiomatias,info,4,206
tw,catalinaach,info,4,376
tw,cawaluco,info,4,35
tw,cc122ar,info,4,4927
tw,ceturano,aseguradora,4,37
tw,chechumar11,info,4,48
tw,chetoba,info,4,3048
tw,climavistaagro,info,4,1277
tw,colorodriguez36,aseguradora,4,46
tw,"contintachina_",retailer,3,129
tw,"contintachina_",info,1,129
tw,conymarchesin,retailer,3,237
tw,conymarchesin,info,1,236
tw,crissuperann,info,4,2575
tw,cuandollorabas,info,4,2663
tw,dabra87,info,2,619
tw,dabra87,aseguradora,1,617
tw,dabra87,retailer,1,617
tw,davidmapfelbaum,info,4,46
tw,diannazzo,info,4,94
tw,dzapatillas,info,4,222855
tw,"eategrity_sonia",hashtag,4,2249
tw,"eli_martinez65",info,4,27
tw,elmatute2,info,4,251
tw,elpailotok,info,4,13694
tw,esoslugares,info,3,688
tw,esoslugares,retailer,1,687
tw,espositorafael,info,4,46
tw,"eze_castillo98",info,4,161
tw,ezerusso90,info,4,126
tw,f3rch05,info,4,187
tw,facugil,aseguradora,4,477
tw,faculartigue,aseguradora,4,59
tw,fapasaoficial,info,4,437
tw,fernandopoyo1,info,4,895
tw,flopereira,info,4,4736
tw,fortalezapr,hashtag,4,89213
tw,fransavanco,info,4,166
tw,"funes_barreiro",aseguradora,4,72
tw,"g_allegue",info,4,756
tw,gauchaganesha,info,3,317
tw,gauchaganesha,retailer,1,317
tw,gfbulacio,info,4,166
tw,gizmo7919,info,4,46
tw,gracielmoreno,info,4,2554
tw,gusadogar,aseguradora,4,177
tw,hernangattelli,info,4,185
tw,hotelceballos,hashtag,4,3328
tw,"hugo_daniel_w",info,3,11
tw,"hugo_daniel_w",retailer,1,11
tw,imanolgj,info,4,127
tw,inglexlutor,info,4,140
tw,ivanferrando8,aseguradora,4,262
tw,jipettes,aseguradora,4,3176
tw,"jocelyne_gagne",aseguradora,4,79
tw,josefinaarb,info,4,73
tw,juandechosma,info,4,162
tw,jzilonz81,info,4,585
tw,katasoyyo,info,4,137
tw,lacasto13,hashtag,4,94
tw,lalibrebe,aseguradora,4,217270
tw,"lampwick_ar",info,4,21
tw,latre,info,4,1569
tw,"laura_nexo",info,4,245
tw,"lb_sfo",info,4,424
tw,leobeli,info,3,208
tw,leobeli,retailer,1,208
tw,lilimgodoy,info,4,207
tw,lillopart,aseguradora,4,99
tw,livingwellands1,hashtag,4,1494
tw,lofinikita,hashtag,4,1055
tw,loisuites,info,4,803
tw,loreandreat,retailer,4,32
tw,louzelig,info,4,213
tw,"lucas_cornejo",info,4,971
tw,ludmilabrz,info,4,3173
tw,lumiei,info,4,49
tw,"luz_zbc",aseguradora,4,254
tw,magnitudcl,hashtag,4,391945
tw,"magui_jost",retailer,4,491
tw,maiamacias2980,info,4,195
tw,manuelmcamino,aseguradora,4,11
tw,manuelsere,info,2,749
tw,manuelsere,retailer,2,750
tw,manuguija,aseguradora,2,1813
tw,manuguija,info,2,1813
tw,mar1zul,aseguradora,4,284
tw,marcelacedres,info,4,168
tw,marcoschiabo,aseguradora,4,369
tw,marielsando,info,4,3483
tw,marife46,info,3,33
tw,marife46,retailer,1,33
tw,"market_forces",hashtag,4,6660
tw,martnezjavier2,aseguradora,4,97
tw,"maru_di",info,3,405
tw,"maru_di",retailer,1,405
tw,matiastebele,info,4,46
tw,"mean_ssn",hashtag,4,12
tw,melulita77,info,3,288
tw,melulita77,retailer,1,288
tw,"milone_fernanda",info,4,61
tw,missluchifer,info,4,1063
tw,momentoviajar,info,4,33
tw,morochaviajera,info,2,75
