target,ssnn,vertical,weight
"lulita_b",tw,info,1
marianocabrera,tw,info,7
marisaniemiz,tw,info,7
maxiselva,tw,info,7
mivishatop,tw,info,7
mmejw,tw,info,7
monteralo,tw,info,7
notogmos,tw,hashtag,7
oliveriolaura,tw,aseguradora,6
oliveriolaura,tw,info,1
palitosequeira,tw,aseguradora,7
"pastito_",tw,retailer,6
"pastito_",tw,info,1
planifica2viaje,tw,info,7
proavanar,tw,info,7
qbegh,tw,hashtag,7
qualityman156,tw,info,7
rondaspymes,tw,aseguradora,7
roxadada,tw,info,6
roxadada,tw,retailer,1
rubinopl,tw,retailer,7
sandraquelok,tw,aseguradora,7
sergiocrd,tw,info,7
sophiferrari,tw,info,7
spasonoro,tw,info,7
spottersb,tw,info,7
"srta_andie",tw,info,7
"turismo_maso",tw,hashtag,6
"turismo_maso",tw,aseguradora,1
vazquezmaga,tw,info,7
"vivi_mir",tw,info,7
wickedivy,tw,info,7
yllenbp,tw,retailer,7
725paulinha,tw,info,6
"_santix",tw,info,6
"a_pbh",tw,aseguradora,6
aeropuertolara,tw,hashtag,6
"ale_dominguezg",tw,info,5
"ale_dominguezg",tw,aseguradora,1
alejandrorudi,tw,info,6
alexiakeglevich,tw,aseguradora,6
alfonsomoschen,tw,retailer,6
"anais_seguros",tw,hashtag,6
andreaime,tw,info,6
andynreyori,tw,retailer,5
andynreyori,tw,info,1
bassmanlqscb,tw,aseguradora,6
benu2015,tw,info,6
biroloines,tw,info,5
biroloines,tw,retailer,1
"caroalv_2017",tw,info,6
cflupianez,tw,info,6
"cites_gss",tw,info,6
directoriodemic,tw,hashtag,6
"dr_nck",tw,info,6
enavionabrasil,tw,info,6
eolmos32,tw,info,6
"ernes_paseguros",tw,aseguradora,3
"ernes_paseguros",tw,info,3
estelaschmldt,tw,info,6
"farhana_ssn",tw,hashtag,6
fedearias77,tw,aseguradora,6
fercholp,tw,info,6
fgarciaanaya,tw,info,6
florarnone,tw,info,4
florarnone,tw,aseguradora,1
florarnone,tw,retailer,1
flyingboyok,tw,info,6
gerardcanhete,tw,info,6
gracuz,tw,info,6
hernannovo,tw,aseguradora,6
ijournal,tw,hashtag,6
"inese_seguros",tw,hashtag,6
jorgelinaponce,tw,info,6
"jua_ice",tw,info,6
juls0105,tw,info,3
juls0105,tw,retailer,2
juls0105,tw,aseguradora,1
komodin,tw,info,6
leandroxlea,tw,info,6
"lolidb_db",tw,info,6
marialuzgomez3,tw,aseguradora,6
maricielocernau,tw,info,6
"maru_c_maru",tw,hashtag,6
"meroph_",tw,info,6
mgiselab,tw,info,5
mgiselab,tw,retailer,1
mstaaravin,tw,info,6
nacionalbroker,tw,aseguradora,6
natuchely,tw,info,6
nomecallomasok,tw,info,5
nomecallomasok,tw,retailer,1
omargiraldez1,tw,info,3
omargiraldez1,tw,retailer,3
perromanzano,tw,info,5
perromanzano,tw,retailer,1
poliiglota,tw,info,4
poliiglota,tw,retailer,2
polita9999,tw,info,4
polita9999,tw,retailer,2
radioqv,tw,aseguradora,4
radioqv,tw,info,2
roberdn,tw,info,6
sanfiar,tw,info,6
"sinmapa_net",tw,info,6
spottersarg,tw,info,6
"ssn_29",tw,hashtag,6
"ssn_94",tw,hashtag,6
"ssn_kyla",tw,hashtag,6
teachmardia1713,tw,info,6
tinrona,tw,info,4
tinrona,tw,aseguradora,2
travelwrite1,tw,hashtag,6
tudgwal,tw,hashtag,6
ultragrana,tw,info,6
verdeysol,tw,info,6
vlingiardi,tw,info,6
vuelosdiarios,tw,info,6
"wrap_togo",tw,hashtag,6
yeminarg,tw,info,6
"_aalmendra",tw,info,5
"a_noroeste",tw,info,5
adridozo,tw,info,5
aeropuertosalta,tw,info,5
aiav89,tw,info,5
alecortina1,tw,info,5
"aleevillar_",tw,info,4
"aleevillar_",tw,retailer,1
aliciasown,tw,info,5
"alta_cake",tw,hashtag,5
andreleblanc51,tw,aseguradora,5
andrepicon,tw,retailer,3
andrepicon,tw,info,2
andypnino,tw,info,5
"anibal_av8r",tw,info,5
anipignataro,tw,info,5
antolittrell,tw,info,3
antolittrell,tw,retailer,2
aracelihdezg,tw,aseguradora,5
"asegura_tuviaje",tw,retailer,5
asenjoale,tw,info,5
ayrasseguros,tw,info,5
"b_b_ssn",tw,hashtag,5
barbiro87,tw,info,5
bemyonlyreason,tw,info,5
billyainsworth,tw,info,5
boerseq,tw,info,5
"brisa_medio",tw,info,4
"brisa_medio",tw,retailer,1
"bruno_urra",tw,retailer,3
"bruno_urra",tw,info,2
capote42,tw,info,5
carinalotitto,tw,aseguradora,5
cesarnob,tw,info,5
cielociela1,tw,info,5
csiconurbano,tw,info,5
damatomelina,tw,info,4
damatomelina,tw,retailer,1
"dami_74",tw,info,5
dgrosemberg,tw,aseguradora,4
dgrosemberg,tw,info,1
dianagasconc,tw,aseguradora,5
digilioseguros,tw,aseguradora,5
"eche_fdz",tw,info,5
elcarpo,tw,info,5
eliandrada27,tw,info,4
eliandrada27,tw,aseguradora,1
enmiyuscula,tw,info,5
fernandobhi,tw,info,5
"foro_noticioso",tw,hashtag,5
"gaby_hds",tw,info,5
gbytz,tw,info,5
goappmx,tw,hashtag,5
godagama29,tw,retailer,5
gonzaferre,tw,info,5
gpapasergio,tw,info,5
"henrymp_",tw,aseguradora,5
hofbauerluis,tw,info,5
ignacioguolo,tw,info,5
jagustinmdp,tw,info,5
jarnoletto,tw,info,5
jvberbotto,tw,info,5
karlaflying,tw,info,5
kattolikamente,tw,aseguradora,5
kipperseguros,tw,aseguradora,5
lagravaar,tw,info,5
laserlami,tw,info,5
lauritsi,tw,info,5
"lc_spottereze",tw,info,5
lenaro8713,tw,retailer,3
lenaro8713,tw,info,2
"leo_bianco",tw,info,5
lucho7711,tw,info,5
luchy1422,tw,info,5
magui92479540,tw,retailer,5
majogm,tw,info,3
majogm,tw,retailer,2
"maria_sarquis",tw,info,5
marielatsu,tw,retailer,5
marilaucanz,tw,info,4
marilaucanz,tw,retailer,1
maripositaviaja,tw,info,5
martingh1,tw,aseguradora,5
maticamp,tw,info,5
"may_ssn",tw,hashtag,5
mercedest5g,tw,info,3
mercedest5g,tw,retailer,2
meximanu,tw,aseguradora,5
miickiii,tw,info,5
mlarrambe,tw,info,5
mujernormanda,tw,info,4
mujernormanda,tw,retailer,1
nestordavidlop2,tw,info,3
nestordavidlop2,tw,aseguradora,2
norina67,tw,info,5
pablogalfras,tw,info,3
pablogalfras,tw,retailer,2
papuchoturbo,tw,info,5
poquitodeacidez,tw,info,4
poquitodeacidez,tw,retailer,1
qbefoodfest,tw,hashtag,5
rauschseguros,tw,aseguradora,5
rsnunez,tw,aseguradora,4
rsnunez,tw,hashtag,1
"sakuku_ssn",tw,hashtag,5
sebafernandezb,tw,info,5
segutrends,tw,hashtag,4
segutrends,tw,info,1
shiiratadeo,tw,info,5
"sincerely_ssn",tw,hashtag,5
solivillegas,tw,info,5
soyanggelluss,tw,info,5
"ssn_akhi_ri",tw,hashtag,5
"ssn_fuji",tw,hashtag,5
telerinonline,tw,info,5
tuitypajarito,tw,info,4
tuitypajarito,tw,retailer,1
"ultimallamada_",tw,info,4
"ultimallamada_",tw,retailer,1
valeria07750948,tw,info,5
viajeraalma,tw,info,5
vmartinrocha,tw,info,5
"xca_amii",tw,info,5
"1978_facundo",tw,info,4
240herni,tw,info,4
4sqsuarg,tw,info,4
4travellersblog,tw,info,4
"_chechulina",tw,info,2
"_chechulina",tw,retailer,2
"a_sueyro",tw,info,4
adnradiochile,tw,aseguradora,4
aleabrahamsalta,tw,info,4
alejandromass10,tw,info,4
algunosabriles,tw,info,4
aliciasduarte,tw,info,4
alidezi,tw,retailer,4
aloriasoc,tw,aseguradora,2
aloriasoc,tw,info,2
amarviajarblog,tw,info,4
"amateras_fox",tw,hashtag,4
amhombrao,tw,info,4
analearonza,tw,info,4
anfepema,tw,info,3
anfepema,tw,retailer,1
angiemartinezo,tw,info,4
"aquaman_iam",tw,info,4
argaerea,tw,info,4
arielmarecos25,tw,aseguradora,4
arquitectoxhora,tw,aseguradora,4
"auberon_elfe",tw,aseguradora,4
"ayigrarosi_115",tw,info,4
"bernardo_pirola",tw,aseguradora,4
blogloloandlali,tw,info,4
bnppcardifde,tw,hashtag,4
brunopont,tw,aseguradora,4
cardiomatias,tw,info,4
catalinaach,tw,info,4
cawaluco,tw,info,4
cc122ar,tw,info,4
ceturano,tw,aseguradora,4
chechumar11,tw,info,4
chetoba,tw,info,4
climavistaagro,tw,info,4
colorodriguez36,tw,aseguradora,4
"contintachina_",tw,retailer,3
"contintachina_",tw,info,1
conymarchesin,tw,retailer,3
conymarchesin,tw,info,1
crissuperann,tw,info,4
cuandollorabas,tw,info,4
dabra87,tw,info,2
dabra87,tw,aseguradora,1
dabra87,tw,retailer,1
davidmapfelbaum,tw,info,4
diannazzo,tw,info,4
dzapatillas,tw,info,4
"eategrity_sonia",tw,hashtag,4
"eli_martinez65",tw,info,4
elmatute2,tw,info,4
elpailotok,tw,info,4
esoslugares,tw,info,3
esoslugares,tw,retailer,1
espositorafael,tw,info,4
"eze_castillo98",tw,info,4
ezerusso90,tw,info,4
f3rch05,tw,info,4
facugil,tw,aseguradora,4
faculartigue,tw,aseguradora,4
fapasaoficial,tw,info,4
fernandopoyo1,tw,info,4
flopereira,tw,info,4
fortalezapr,tw,hashtag,4
fransavanco,tw,info,4
"funes_barreiro",tw,aseguradora,4
"g_allegue",tw,info,4
gauchaganesha,tw,info,3
gauchaganesha,tw,retailer,1
gfbulacio,tw,info,4
gizmo7919,tw,info,4
gracielmoreno,tw,info,4
gusadogar,tw,aseguradora,4
hernangattelli,tw,info,4
hotelceballos,tw,hashtag,4
"hugo_daniel_w",tw,info,3
"hugo_daniel_w",tw,retailer,1
imanolgj,tw,info,4
inglexlutor,tw,info,4
ivanferrando8,tw,aseguradora,4
jipettes,tw,aseguradora,4
"jocelyne_gagne",tw,aseguradora,4
josefinaarb,tw,info,4
juandechosma,tw,info,4
jzilonz81,tw,info,4
katasoyyo,tw,info,4
lacasto13,tw,hashtag,4
lalibrebe,tw,aseguradora,4
"lampwick_ar",tw,info,4
latre,tw,info,4
"laura_nexo",tw,info,4
"lb_sfo",tw,info,4
leobeli,tw,info,3
leobeli,tw,retailer,1
lilimgodoy,tw,info,4
lillopart,tw,aseguradora,4
livingwellands1,tw,hashtag,4
lofinikita,tw,hashtag,4
loisuites,tw,info,4
loreandreat,tw,retailer,4
louzelig,tw,info,4
"lucas_cornejo",tw,info,4
ludmilabrz,tw,info,4
lumiei,tw,info,4
"luz_zbc",tw,aseguradora,4
magnitudcl,tw,hashtag,4
"magui_jost",tw,retailer,4
maiamacias2980,tw,info,4
manuelmcamino,tw,aseguradora,4
manuelsere,tw,info,2
manuelsere,tw,retailer,2
manuguija,tw,aseguradora,2
manuguija,tw,info,2
mar1zul,tw,aseguradora,4
marcelacedres,tw,info,4
marcoschiabo,tw,aseguradora,4
marielsando,tw,info,4
marife46,tw,info,3
marife46,tw,retailer,1
"market_forces",tw,hashtag,4
martnezjavier2,tw,aseguradora,4
"maru_di",tw,info,3
"maru_di",tw,retailer,1
matiastebele,tw,info,4
"mean_ssn",tw,hashtag,4
melulita77,tw,info,3
melulita77,tw,retailer,1
"milone_fernanda",tw,info,4
missluchifer,tw,info,4
momentoviajar,tw,info,4
morochaviajera,tw,info,2
morochaviajera,tw,retailer,2
mr199882,tw,info,4
muyviajera,tw,info,4
mykonos2002,tw,info,4
nairfelisr,tw,info,4
nanvtorres,tw,aseguradora,2
nanvtorres,tw,info,2
natbaires,tw,info,4
natilu733,tw,info,4
nenabear3,tw,info,4
nicocalk,tw,info,4
nicoemaramos,tw,info,4
nicosolimando,tw,info,4
nnprytuluk,tw,info,4
oruejuani,tw,info,4
palermopato,tw,info,3
palermopato,tw,retailer,1
patdalto,tw,info,4
"pelayo_seguros",tw,hashtag,4
pelelaok,tw,info,4
pepezenclussen,tw,info,4
piaasao,tw,info,4
pizkunovz,tw,info,4
"pornnatcha_ssn",tw,hashtag,4
pseguros,tw,hashtag,4
"qbe_3",tw,hashtag,4
"qbe_poker",tw,hashtag,4
radioledonline,tw,info,3
radioledonline,tw,aseguradora,1
raulplate,tw,info,4
"ric_argentina",tw,info,4
rmodugal,tw,aseguradora,4
"ro_salina",tw,info,3
"ro_salina",tw,retailer,1
"rocio_hope",tw,info,4
rodiyod1973,tw,aseguradora,2
rodiyod1973,tw,info,2
rolobaiano,tw,info,4
rommel73400076,tw,hashtag,4
"rondo_25",tw,aseguradora,4
roqueallendesa,tw,info,4
sebassol,tw,info,3
sebassol,tw,retailer,1
segurosmedrano,tw,hashtag,4
sercho74,tw,info,4
silvestross,tw,info,4
soffiamelina,tw,info,4
solemmdq,tw,info,4
somossegurosweb,tw,hashtag,4
soutopatricia,tw,aseguradora,4
sserepa,tw,info,3
sserepa,tw,retailer,1
"ssn_83",tw,hashtag,4
"ssn_bot",tw,hashtag,4
"ssn_otis",tw,hashtag,4
"ssn_pr",tw,hashtag,4
tanana0b0,tw,hashtag,4
tassita1,tw,info,3
tassita1,tw,retailer,1
thotisanidea,tw,info,4
tipsdeviajero,tw,aseguradora,4
tonieveris,tw,hashtag,4
"uai_seguros_bh",tw,hashtag,4
valb81,tw,retailer,3
valb81,tw,info,1
valemarsili,tw,info,4
vanekaruchek,tw,info,4
veronicapeuchot,tw,info,4
viajeydescubra,tw,info,4
vickygiavedoni,tw,retailer,3
vickygiavedoni,tw,info,1
victormontz,tw,info,4
vmenditto,tw,info,4
yomikeok,tw,info,4
zenartseguros,tw,aseguradora,4
0pp0rtuniste,tw,aseguradora,3
"_rmk1s8",tw,hashtag,3
aapasargentina,tw,info,3
abby0518,tw,hashtag,3
abcdeportes,tw,aseguradora,3
abigraciela,tw,aseguradora,2
abigraciela,tw,info,1
actualitecaq,tw,aseguradora,3
admoretta,tw,info,3
agoiantorno,tw,retailer,3
agurinaldi,tw,info,3
aguscocchi,tw,info,3
ailuualarcon,tw,info,3
akanomidori5,tw,hashtag,3
"ale_moreira",tw,info,3
aliciacastroar,tw,info,3
allsetic,tw,hashtag,3
"ama_seguros",tw,hashtag,3
anapolvorita,tw,info,3
anasurez13,tw,info,3
andersonblas2,tw,info,3
andreamedina10,tw,info,3
"angelesfranco_",tw,info,3
anlealp,tw,info,3
anyular,tw,info,3
aomaorm,tw,hashtag,3
applystaff,tw,aseguradora,3
"apuntes_",tw,info,3
"arg_solidaria",tw,retailer,3
argielau,tw,info,3
arigor,tw,info,3
arromariagarcia,tw,info,3
arturojnavarro,tw,info,3
"asarco_es_ar",tw,aseguradora,2
"asarco_es_ar",tw,retailer,1
aseguradosaldia,tw,info,2
aseguradosaldia,tw,aseguradora,1
avanoc,tw,info,3
avionesenezeiza,tw,info,3
balchi3,tw,info,3
barbaramazieres,tw,aseguradora,3
bcrprensa,tw,info,3
"bee_ssn",tw,hashtag,3
belum08,tw,info,3
benru79,tw,aseguradora,3
bernaruno,tw,info,3
